Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,Rank,Status Whiteboard,Epic Link,Tags,Flagged,Rank (Obsolete),Epic/Theme,Sprint,Issuezilla Id
javacc,JAVACC-296,Release version 6.1.3 on Maven Central repository,Bug,Open,Blocker,Unresolved,super_glassfish,ptitjes,ptitjes,23/Jul/16 12:59 PM,03/Aug/16 6:06 PM,23/Jul/16 12:59 PM,,6.0,,"general, parser generator",,0,1,,,,,,,,Any,"The version 6.1.2 (rev 628) released on Maven Central repository has a blocker bug in the code generator when using both STATIC = false and TOKEN_MANAGER_USES_PARSER = true options. It prevents to compile the generated parser code. 
 
 The svn repository already contains a fix and a ""6.1.3"" tag (rev 667) already exists after this fix. See this diff (628-667) to see the fix: 
 https://java.net/projects/javacc/sources/svn/diff/trunk/src/main/java/org/javacc/parser/ParseGen.java?rev1=628&rev2=667 
 
 Please release the 6.1.3 version and push it to the Maven Central repository.",,,,,,,,0|i0jp6n:,,,,,9223372036854775807,,,
javacc,JAVACC-295,C++: Enoying shift in call/return traces when,Improvement,Resolved,Major,Fixed,francisandre,francisandre,francisandre,14/Jun/16 4:26 PM,,08/Jul/16 1:28 PM,08/Jul/16 1:28 PM,current,,general,,0,0,,,,,,,,"JDK 1.7_51, Win7 Pro","Hi 
 
 When generating a debug parser that contains production with non void return type, the call/return traces are shifted. Here a sample 
 
 Token* identifier(): {Token* t;} { t = <IDENTIFIANT> { return t; } } 
 
 produces 
 Token * Parser::identifier() { 
 trace_call(""identifier""); 
 try { 
 		Token* t; 
 		if (!hasError) { 
 			t = jj_consume_token(IDENTIFIANT); 
 		} 
 		return t; 
 } catch(...) { } 
 trace_return(""identifier""); 
 	assert(false); 
 } 
 
 The trace_return(""identifier"") is never called and thus, on each identifier found, the indentation is shifted by 2... 
 
 While not a bug per se, it is quite ennoying for debugging grammar with a lot of lookahead since by the end, the call trace is shifted to the rigth of the line.",,,,,,,logging,0|i0jog7:,,,,,9223372036854775807,,,
javacc,JAVACC-294,svn checkout trunk + mvn install fails,Bug,Open,Major,Unresolved,super_glassfish,francisandre,francisandre,04/Jun/16 5:53 PM,,04/Jun/16 5:53 PM,,current,,general,,0,1,,,,,,,,"Windows 7 Pro, amd64, java 1.7.0_51","Hi 
 
 Just done a checkout of the trunk svn repository and run mvn install which fails on tests 
 
 svn checkout https://svn.java.net/svn/javacc~svn/trunk javacc 
 build.cmd 
 mvn install 
 
 Results : 
 
 Failed tests: testMainProgramHTML(org.javacc.jjdoc.test.JJDocMainTest): expected:<0> but was:<1> 
 testMainProgramText(org.javacc.jjdoc.test.JJDocMainTest): expected:<0> but was:<1> 
 testDefaults(org.javacc.parser.OptionsTest): expected:<37> but was:<49> 
 testDumpNonAsciiMoveMethods(org.javacc.parser.test.NfaStateTest): expected:<> but was:<(..) 
 testDumpMoveNfa(org.javacc.parser.test.NfaStateTest): expected:<> but was:<(..) 
 
 Tests in error: 
 testDumpCharAndRangeMovesInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚcifi 
 Ú est introuvable) 
 testDumpNonAsciiMoveMethodsInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚci 
 fiÚ est introuvable) 
 testDumpStatesForStateInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚcifiÚ e 
 st introuvable) 
 testDumpStatesForKindInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚcifiÚ es 
 t introuvable) 
 testDumpStateSetsInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚcifiÚ est in 
 trouvable) 
 testDumpMoveNfaInitialised(org.javacc.parser.test.NfaStateTest): src\org\javacc\parser\JavaCC.jj (Le chemin dÆaccÞs spÚcifiÚ est intr 
 ouvable) 
 testDumpStatesForState(org.javacc.parser.test.NfaStateTest): This should never be null. 
 testDumpStatesForKind(org.javacc.parser.test.NfaStateTest): This should never be null.",,,,,,,,0|i0joan:,,,,,9223372036854775807,,,
javacc,JAVACC-293,Generated Parser code has a memory leak,Bug,Open,Major,Unresolved,super_glassfish,markt_asf,markt_asf,20/May/16 10:12 AM,,20/May/16 10:12 AM,,6.0,,parser generator,,0,1,,,,,,,,,"The generated code: 
 {code} 
 static private final class LookaheadSuccess extends java.lang.Error { } 
 {code} 
 needs to be replaced with 
 {code} 
 static private final class LookaheadSuccess extends java.lang.Error { 
 /* 
 * Over-ridden to avoid memory leak via Throwable.backtrace 
 */ 
 @Override 
 public synchronized Throwable fillInStackTrace() { 
 return this; 
 } 
 } 
 {code} 
 to prevent the context class loader of the current thread being pinned in memory via the Throwable.backtrace field. This causes memory leaks in modular environments such as Servlet containers that use a class loader per module and need the class loader to be GC'd when the module is unloaded.",,,,,,,,0|i0jnuv:,,,,,9223372036854775807,,,
javacc,JAVACC-292,Null pointer exception from BUILD_PARSER=false,Bug,Open,Minor,Unresolved,super_glassfish,theo,theo,01/Jan/16 5:25 PM,,01/Jan/16 5:25 PM,,current,,general,,0,1,,,,,,,,,"A null pointer exception is thrown by JavaCC 6.0 and JavaCC 6.1.0 when option BUILD_PARSER = false used. See example below. 
 
 
 $ cat MFE.jj 
 options 
 { 
 BUILD_PARSER = false ; 
 } 
 
 PARSER_BEGIN(EOFInComment) 
 public class EOFInComment 
 { 
 } 
 PARSER_END(EOFInComment) 
 
 TOKEN: { ""a"" } 
 
 $ javacc MFE.jj 
 Java Compiler Compiler Version 6.1_0 (Parser Generator) 
 (type ""javacc"" with no arguments for help) 
 Reading from file MFE.jj . . . 
 File ""TokenMgrError.java"" is being rebuilt. 
 File ""ParseException.java"" is being rebuilt. 
 File ""Token.java"" is being rebuilt. 
 File ""SimpleCharStream.java"" is being rebuilt. 
 Exception in thread ""main"" java.lang.NullPointerException 
 	at org.javacc.parser.OtherFilesGen.start(OtherFilesGen.java:143) 
 	at org.javacc.parser.Main.mainProgram(Main.java:262) 
 	at org.javacc.parser.Main.main(Main.java:154) 
 	at javacc.main(javacc.java:36)",,,,,,,,0|i0jjpj:,,,,,9223372036854775807,,,
javacc,JAVACC-291,Maven build gets terminated when javacc is used to generate source,Bug,Open,Major,Unresolved,super_glassfish,thomasabraham,thomasabraham,17/Nov/15 1:32 PM,,17/Nov/15 1:32 PM,,,,,,0,1,,,,,,,,,"I'm using javacc to generate source code in my maven project. 
 I'm using exec-maven-plugin to run javacc as part of the build process. 
 But org.javacc.parser.Main is calling System.exit which is terminating my build process.",,,,,,,,0|i0jinz:,,,,,9223372036854775807,,,
javacc,JAVACC-290,Unicode parsing problems,Bug,Open,Major,Unresolved,ainsleyc,ainsleyc,ainsleyc,26/Jul/15 12:33 AM,,26/Jul/15 12:41 AM,,6.0,,parser generator,,0,1,,,,,,,,,"JavaCC has an issue that it cannot generate (Java) code that handles a Unicode char stream UNLESS option ""JAVA_UNICODE_ESCAPE = true;"" is specified. 
 
 Setting this option to true (default is false) will generate the ""JavaCharStream"" class instead of the ""SimpleCharStream"" class, and will wire up the lexer and parser to use this char stream by default. This is troublesome because this option performs byte substitution at the character stream level for ""\uxxxx"" pattern, which is not required in many parsers, and in fact, would be a show-stopping bug for writing compliant parsers for most languages as this sequence of characters would always be transparently replaced by the JavaCC generated code. 
 
 There is also an option to specify a user written charstream class using ""USER_CHAR_STREAM=true;"", which then references a class called ""CharStream"" from the same package as the generated code (but this class is user supplied, not generated if the option is specified with a value of true). 
 
 To get to the point, well, the ONLY way that JavaCC currently works with Unicode is via the ""JAVA_UNICODE_ESCAPE = true;"" method. Even if a custom char stream is specified. The problem isn't ""SimpleCharStream"", this appears to be Unicode compatible. The problem is that different code is generated if the ""JAVA_UNICODE_ESCAPE = true;"" option is specified so that the high and low bytes are taken into consideration by the generated code. 
 
 The option ""UNICODE_INPUT=true|false(default);"" exists, and I think it should exist for the purpose of generating unicode compatible code - but it does nothing but disable some warnings (verified via source review). 
 
 The fix is to wire up the code generation so that UNICODE_INPUT will be used correctly, when generating code, and to decouple the unicode code generation exclusively from ""JAVA_UNICODE_ESCAPE = true;"" Unicode compatible code generation should happen if UNICODE_INPUT or JAVA_UNICODE_ESCAPE are supplied with a value of true, but the JavaCharStream class should only be generated if ""JAVA_UNICODE_ESCAPE = true;"".",,,,,,,unicode,0|i0h8s7:,,,,,100568,,,
javacc,JAVACC-289,NPE in ParseException.initialise,Bug,Open,Major,Unresolved,ainsleyc,donvip,donvip,27/Jun/15 1:00 PM,,13/Jul/15 3:07 AM,,current,,parser generator,,0,3,,,,,,,,,"This is an upstream bug report for 
 https://josm.openstreetmap.de/ticket/11593 
 
 In case of invalid data, a ParseException is generated by JavaCC. 
 However, in this particular case, we're in a situation where currentToken.next is null in this part of ParseException.initialise(): 
 
 retval += ""\"" at line "" + currentToken.next.beginLine + "", column "" + currentToken.next.beginColumn; 
 
 thus leading to the NullointerException. 
 
 Is it possible to produce more robust code?",,,,,,,,0|i0h6of:,,,,,100227,,,
javacc,JAVACC-288,"getNextToken catches all Exception-s, not just IOException-s",Bug,Open,Major,Unresolved,super_glassfish,ddekany,ddekany,09/Apr/15 5:42 PM,,09/Apr/15 5:42 PM,,6.0,,scanner generator,,0,1,,,,,,,,,"When the `Reader` throws an {{IOException}}, {{SimpleCharStream.FillBuff():125}}, catches it: 
 {code:java} 
 catch(java.io.IOException e) { 
 --bufpos; 
 backup(0); 
 if (tokenBegin == -1) 
 tokenBegin = bufpos; 
 throw e; 
 } 
 {code} 
 
 Note that this will only catch `IOException`-s. Then the above re-throws the exception, which will be re-catched here, in {{WhateverTokenManager.getNextToken()}}: 
 
 {code:java} 
 try 
 { 
 curChar = input_stream.BeginToken(); 
 } 
 catch(Exception e) 
 { 
 jjmatchedKind = 0; 
 jjmatchedPos = -1; 
 matchedToken = jjFillToken(); 
 return matchedToken; 
 } 
 {code} 
 
 This above catches all kind of {{Exception}}-s, not just {{IOException}}! In JavaCC 3.2 (where I migrate from) it has only catched {{IOException}}-s. This has some consequences. First of all, JavaCC has this rather strange and dangerous behavior that it silently treats these catched exceptions as end-of-file. (I had to work this around, otherwise if there's a network outage or such during the reading of the stream, I get an incomplete parsing result without any error indication.) So now that also applies to `RuntimeExceptions`-s. In 3.2 at lest those were bubbled up to the parser caller. Furthermore, in the case of `RuntimeException`-s this catch block will be executed without {{FillBuff}}'s catch block executed first, which leads to this: 
 
 {code} 
 java.lang.ArrayIndexOutOfBoundsException: -1 
 	at freemarker.core.SimpleCharStream.getBeginLine(SimpleCharStream.java:243) 
 	at freemarker.core.FMParserTokenManager.jjFillToken(FMParserTokenManager.java:6667) 
 	at freemarker.core.FMParserTokenManager.getNextToken(FMParserTokenManager.java:6705) 
 	at freemarker.core.FMParser.jj_scan_token(FMParser.java:4967) 
 	at freemarker.core.FMParser.jj_3_16(FMParser.java:4149) 
 	at freemarker.core.FMParser.jj_2_16(FMParser.java:3242) 
 	at freemarker.core.FMParser.Root(FMParser.java:3107) 
 {code}",,,,,,,,0|i0gpan:,,,,,97411,,,
javacc,JAVACC-287,JavaCC-generated parser can cause stack overrun,Bug,Open,Major,Unresolved,datacompboy,datacompboy,datacompboy,06/Feb/15 10:46 AM,,17/Feb/15 12:15 PM,,current,,general,,1,4,,,,,,,,,"Generated parser can easily overrun stack in generated CPP and Java. 
 And if in Java it just would raise stack exception (rarely catched, because noone expect that), then in C++ it would crash whole application. 
 
 There three kinds of stack overruns: 
 1) generated big jjtree, that caused stack overrun on destruction due to recursive destruction 
 2) while proceeding different possible options, deep stack in phase1 
 3) while processing lookahead, deep stack in jj_2 / jj_3 pieces. 
 
 I have added DEPTH_LIMIT option to javacc compiler, that limits maximum recursion count of generated parser. 
 Its safe to have it enabled for both java and cpp, but if you want to disable it, just define that limit to 0, it would remove it and generate same parser as before.",,,,,,,,0|i0ghan:,,,,,96115,,,
